"Variables ->","gdp","gdp_agriculture","cpi","cpi_core1","cpi_freshfood","cpi_administ","fisc_bal","mmr","neer","eur_tnd","usd_tnd","gdp_ea","cpi_ea","nr_ea","cpi_us","wp_oil","gdp_nom","credit_total","credit_eses","credit_houshl","gdp_agr_nom","credit_agriculture","cred_new_flows_u","cred_new_ir","cred_new_hh_flows_u","cred_new_hh_ir","cred_new_eses_flows_u","cred_new_eses_ir","il_ceil","gdpxa_nom","credxa","cred_new_flows","cred_new_flows2"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]"
"2000Q1",13513.9699999999993452,1314.6199999999998909,61.0499999999999972,62.9200000000000017,49.5200000000000031,62.3299999999999983,-9.4000000000000004,5.8799999999999999,166.9099999999999966,1.2600000000000000,1.2800000000000000,2098387.2999999998137355,75.1599999999999966,3.5400000000000000,71.7800000000000011,52.3999999999999986,7462.1300000000001091,16380.8600000000005821,NaN,NaN,691.9201442999999472,691.9201442999999472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6770.2098556999999346,15688.9398557000004075,NaN,NaN
"2000Q2",13651.4099999999998545,1333.4500000000000455,60.9900000000000020,63.0799999999999983,47.4299999999999997,62.6599999999999966,3.7999999999999998,5.8799999999999999,164.4699999999999989,1.2700000000000000,1.3600000000000001,2117632.7999999998137355,75.3900000000000006,4.2599999999999998,72.2399999999999949,49.7000000000000028,7599.8500000000003638,17000.1399999999994179,NaN,NaN,694.0060184000000163,694.0060184000000163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6905.8439816000000064,16306.1339815999999701,NaN,NaN
"2000Q3",13990.6599999999998545,1329.3399999999999181,61.0600000000000023,63.2599999999999980,47.0000000000000000,62.7299999999999969,-0.7000000000000000,5.8799999999999999,163.8899999999999864,1.2600000000000000,1.3999999999999999,2129067.7000000001862645,76.0600000000000023,4.7400000000000002,72.9399999999999977,55.2000000000000028,7767.6300000000001091,17579.6399999999994179,NaN,NaN,704.3132580999999846,704.3132580999999846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7063.3167419000001246,16875.3267419000003429,NaN,NaN
"2000Q4",14228.5900000000001455,1337.6500000000000909,61.1300000000000026,63.4600000000000009,46.7500000000000000,62.6400000000000006,-6.5999999999999996,5.8799999999999999,163.0099999999999909,1.2600000000000000,1.4500000000000000,2143279.2000000001862645,76.6299999999999955,5.0199999999999996,73.6500000000000057,59.0000000000000000,7992.0500000000001819,18023.4799999999995634,NaN,NaN,716.6932607999999618,716.6932607999999618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7275.3567392000004475,17306.7867392000007385,NaN,NaN
"2001Q1",14317.1599999999998545,1347.5799999999999272,61.4600000000000009,63.7299999999999969,47.3100000000000023,63.0600000000000023,-3.3999999999999999,5.9800000000000004,161.9499999999999886,1.2800000000000000,1.3899999999999999,2165203.7999999998137355,76.7699999999999960,4.7500000000000000,74.2199999999999989,50.3999999999999986,8172.2200000000002547,18514.1300000000010186,NaN,NaN,722.7632300000000214,722.7632300000000214,NaN,NaN,NaN,NaN,NaN,NaN,12.1416679500000004,7449.4567700000006880,17791.3667700000005425,NaN,NaN
"2001Q2",14289.1499999999996362,1295.9300000000000637,62.0099999999999980,64.0400000000000063,49.4299999999999997,63.3500000000000014,-0.8000000000000000,6.0599999999999996,161.4199999999999875,1.2700000000000000,1.4600000000000000,2167266.5000000000000000,77.5999999999999943,4.5899999999999999,74.6700000000000017,51.1000000000000014,8260.6700000000000728,18974.7999999999992724,NaN,NaN,721.7239005000000134,721.7239005000000134,NaN,NaN,NaN,NaN,NaN,NaN,12.1416679500000004,7538.9460994999999457,18253.0760994999982358,NaN,NaN
"2001Q3",14151.3299999999999272,1271.3399999999999181,62.4299999999999997,64.3299999999999983,49.7400000000000020,64.1700000000000017,-0.6000000000000000,6.0599999999999996,159.8300000000000125,1.2900000000000000,1.4500000000000000,2169425.2000000001862645,77.9099999999999966,4.2699999999999996,74.9099999999999966,46.0000000000000000,8384.1299999999991996,19528.7500000000000000,NaN,NaN,706.0205977000000530,706.0205977000000530,NaN,NaN,NaN,NaN,NaN,NaN,12.1139561499999999,7678.1094022999986919,18822.7294022999994922,NaN,NaN
"2001Q4",14177.6599999999998545,1265.6500000000000909,62.8699999999999974,64.5400000000000063,51.0600000000000023,64.6200000000000045,-7.2999999999999998,5.9600000000000000,159.0300000000000011,1.3000000000000000,1.4500000000000000,2171991.8999999999068677,78.2500000000000000,3.4399999999999999,75.0100000000000051,38.5000000000000000,8431.1700000000000728,19980.8100000000013097,NaN,NaN,700.8333986999999752,700.8333986999999752,NaN,NaN,NaN,NaN,NaN,NaN,12.1139561499999999,7730.3366013000004386,19279.9766013000007661,NaN,NaN
"2002Q1",14131.6800000000002910,1181.4700000000000273,63.1899999999999977,64.9200000000000017,51.0900000000000034,65.0900000000000034,-3.1000000000000001,5.9400000000000004,159.5399999999999920,1.3000000000000000,1.4800000000000000,2174042.5000000000000000,78.7699999999999960,3.3599999999999999,75.1599999999999966,41.2999999999999972,8444.5300000000006548,20221.6399999999994179,NaN,NaN,652.7541525000000320,652.7541525000000320,NaN,NaN,NaN,NaN,NaN,NaN,11.9807281200000002,7791.7758475000009639,19568.8858474999979080,NaN,NaN
"2002Q2",14101.5799999999999272,1186.2899999999999636,63.1700000000000017,65.1599999999999966,49.3900000000000006,65.1899999999999977,-3.6000000000000001,5.9400000000000004,156.7400000000000091,1.3300000000000001,1.4500000000000000,2185839.2000000001862645,79.2300000000000040,3.4500000000000002,75.6400000000000006,47.2000000000000028,8555.1000000000003638,20589.8800000000010186,NaN,NaN,642.2259916000000430,642.2259916000000430,NaN,NaN,NaN,NaN,NaN,NaN,11.9807281200000002,7912.8740084000000934,19947.6540084000007482,NaN,NaN
"2002Q3",14040.5799999999999272,1163.3599999999999000,63.3800000000000026,65.3400000000000034,49.8200000000000003,65.3700000000000045,1.2000000000000000,5.9500000000000002,155.3499999999999943,1.3600000000000001,1.3799999999999999,2194912.8999999999068677,79.5600000000000023,3.3599999999999999,76.1099999999999994,49.0000000000000000,8667.1399999999994179,20740.6500000000014552,NaN,NaN,645.7344504000000143,645.7344504000000143,NaN,NaN,NaN,NaN,NaN,NaN,11.9167028899999998,8021.4055495999991763,20094.9155496000021230,NaN,NaN
"2002Q4",14120.9799999999995634,1136.3599999999999000,63.7199999999999989,65.5499999999999972,49.9699999999999989,65.9800000000000040,-3.2000000000000002,5.9100000000000001,153.3100000000000023,1.3799999999999999,1.3799999999999999,2198372.0000000000000000,80.0199999999999960,3.1099999999999999,76.6400000000000006,53.2999999999999972,8792.0499999999992724,20918.7999999999992724,NaN,NaN,661.7569548999999824,661.7569548999999824,NaN,NaN,NaN,NaN,NaN,NaN,11.9167028899999998,8130.2930450999992900,20257.0430450999992900,NaN,NaN
"2003Q1",14112.0799999999999272,1251.4900000000000091,63.8400000000000034,65.7800000000000011,49.4099999999999966,66.4399999999999977,-3.7999999999999998,5.8600000000000003,151.0099999999999909,1.4199999999999999,1.3200000000000001,2191630.7000000001862645,80.6400000000000006,2.6800000000000002,77.3599999999999994,61.2999999999999972,8953.6900000000005093,21028.1599999999998545,18197.2299999999995634,2951.1500000000000909,717.9207209999999577,717.9207209999999577,NaN,NaN,NaN,NaN,NaN,NaN,11.8049467499999992,8235.7692790000000969,20310.2392790000012610,NaN,NaN
"2003Q2",14548.7299999999995634,1331.1800000000000637,64.3400000000000034,65.9099999999999966,51.0399999999999991,67.0799999999999983,-1.0000000000000000,5.4400000000000004,148.4900000000000091,1.4600000000000000,1.2900000000000000,2193526.1000000000931323,80.7999999999999972,2.3599999999999999,77.2399999999999949,49.2999999999999972,9159.7299999999995634,20917.3100000000013097,17935.6100000000005821,2954.0900000000001455,756.9769410000000107,756.9769410000000107,NaN,NaN,NaN,NaN,NaN,NaN,11.8049467499999992,8402.7530589999987569,20160.3330590000005031,NaN,NaN
"2003Q3",14854.2900000000008731,1423.8399999999999181,65.1899999999999977,66.2300000000000040,54.4699999999999989,67.9099999999999966,-1.6000000000000001,5.0000000000000000,148.8000000000000114,1.4500000000000000,1.2900000000000000,2205380.0000000000000000,81.2000000000000028,2.1400000000000001,77.7500000000000000,51.7999999999999972,9340.7099999999991269,21038.1800000000002910,17984.8300000000017462,2957.5000000000000000,806.1415954999999940,806.1415954999999940,NaN,NaN,NaN,NaN,NaN,NaN,11.6575141500000008,8534.5684044999998150,20232.0384044999991602,NaN,NaN
