"Variables ->","l_y_ez","l_y_ez_gap","l_cpi_ez","l_cpi_us","i_ez","eur_usd","r_ez_gap","r_ez_tnd","l_wp_oil","l_rp_oil_gap"
"1999Q1",1.44763541e+03,-2.24450400e+00,4.30600016e+00,4.30600016e+00,2.99913700e+00,8.90981000e-01,-4.44878000e-01,2.71079800e+00,2.41975216e+02,-6.45690020e+01
"1999Q2",1.44819607e+03,-2.36031300e+00,4.31106755e+00,4.31106755e+00,2.53113100e+00,9.46342000e-01,-1.31454700e+00,2.77738100e+00,2.73511614e+02,-3.47475900e+01
"1999Q3",1.44938163e+03,-1.88191000e+00,4.31486245e+00,4.31486245e+00,2.49940100e+00,9.53180000e-01,-1.71451400e+00,3.05057600e+00,3.02268397e+02,-8.00000000e+00
"1999Q4",1.45049704e+03,-1.51238700e+00,4.31979656e+00,4.31979656e+00,2.80876300e+00,9.64055000e-01,-1.82396700e+00,3.36804000e+00,3.17986628e+02,5.57840400e+00
"2000Q1",1.45174060e+03,-1.05922500e+00,4.32541219e+00,4.32541219e+00,3.20082700e+00,1.01326100e+00,-1.96496100e+00,3.73347900e+00,3.28991080e+02,1.42857770e+01
"2000Q2",1.45262993e+03,-1.00000000e+00,4.32950452e+00,4.32950452e+00,3.80332000e+00,1.07075400e+00,-1.52551800e+00,4.01174900e+00,3.27856993e+02,1.03895230e+01
"2000Q3",1.45315500e+03,-1.41462900e+00,4.33668053e+00,4.33668053e+00,4.33515300e+00,1.10621300e+00,-9.60974000e-01,4.13234800e+00,3.41592393e+02,2.13606010e+01
"2000Q4",1.45379807e+03,-1.70401300e+00,4.34276592e+00,4.34276592e+00,4.73648400e+00,1.15093600e+00,-5.49101000e-01,4.12643300e+00,3.38531485e+02,1.54812880e+01
"2001Q1",1.45710817e+03,7.00000000e-01,4.34497357e+00,4.34497357e+00,4.74783800e+00,1.08425200e+00,-3.99601000e-01,3.90440500e+00,3.25086298e+02,-1.09451200e+00
"2001Q2",1.45720303e+03,1.30077000e-01,4.35465544e+00,4.35465544e+00,4.60402600e+00,1.14519600e+00,-4.74014000e-01,3.76240600e+00,3.30585762e+02,1.21786200e+00
"2001Q3",1.45731661e+03,-2.96098000e-01,4.35897122e+00,4.35897122e+00,4.32428800e+00,1.12239000e+00,-7.17315000e-01,3.67300200e+00,3.22874514e+02,-9.46214700e+00
"2001Q4",1.45741964e+03,-6.59971000e-01,4.36131359e+00,4.36131359e+00,3.45339700e+00,1.11746700e+00,-1.10162600e+00,3.50240600e+00,2.96226632e+02,-3.90946090e+01
"2002Q1",1.45749119e+03,-9.85195000e-01,4.36995405e+00,4.36995405e+00,3.24898800e+00,1.14045800e+00,-1.44731300e+00,3.47744200e+00,3.05190780e+02,-3.33216890e+01
"2002Q2",1.45801497e+03,-7.94553000e-01,4.37533765e+00,4.37533765e+00,3.24898800e+00,1.08792100e+00,-1.84450300e+00,3.43830400e+00,3.22175034e+02,-1.94296260e+01
"2002Q3",1.45843068e+03,-6.82535000e-01,4.37964881e+00,4.37964881e+00,3.24898800e+00,1.01666000e+00,-1.28381500e+00,3.14145100e+00,3.29302402e+02,-1.56765970e+01
"2002Q4",1.45855903e+03,-8.54243000e-01,4.38381670e+00,4.38381670e+00,3.10740300e+00,9.99261000e-01,-7.71574000e-01,2.78839600e+00,3.28658942e+02,-1.95861910e+01
"2003Q1",1.45822076e+03,-1.50000000e+00,4.39263681e+00,4.39263681e+00,2.67788300e+00,9.31538000e-01,-4.01311000e-01,2.36705200e+00,3.44760185e+02,-6.75114000e+00
"2003Q2",1.45830282e+03,-1.73303700e+00,4.39465489e+00,4.39465489e+00,2.35660600e+00,8.80247000e-01,-3.68665000e-01,2.02887600e+00,3.26284441e+02,-2.86832560e+01
"2003Q3",1.45883951e+03,-1.54711300e+00,4.39970282e+00,4.39970282e+00,1.99961700e+00,8.87891000e-01,-8.20857000e-01,1.76584000e+00,3.34782189e+02,-2.38374740e+01
"2003Q4",1.45953388e+03,-1.22384900e+00,4.40378813e+00,4.40378813e+00,1.99961700e+00,8.40291000e-01,-7.73471000e-01,1.61021100e+00,3.38146489e+02,-2.39229420e+01
"2004Q1",1.46004875e+03,-1.10560200e+00,4.40980392e+00,4.40980392e+00,1.99961700e+00,7.99434000e-01,-7.59888000e-01,1.35848400e+00,3.46407169e+02,-1.93471340e+01
"2004Q2",1.46064301e+03,-9.41016000e-01,4.41731334e+00,4.41731334e+00,1.99961700e+00,8.29899000e-01,-9.94486000e-01,1.27858800e+00,3.56929231e+02,-1.29060910e+01
"2004Q3",1.46087580e+03,-1.11812700e+00,4.42200828e+00,4.42200828e+00,1.99961700e+00,8.17817000e-01,-7.58727000e-01,1.20200000e+00,3.72797633e+02,-1.09194300e+00
"2004Q4",1.46120879e+03,-1.20583600e+00,4.42632259e+00,4.42632259e+00,1.99961700e+00,7.71705000e-01,-4.78079000e-01,1.01848700e+00,3.78774931e+02,1.00299000e+00
"2005Q1",1.46145453e+03,-1.40025600e+00,4.43030079e+00,4.43030079e+00,1.99961700e+00,7.62979000e-01,-2.70303000e-01,8.55939000e-01,3.86372308e+02,4.26771000e+00
"2005Q2",1.46197853e+03,-1.31882300e+00,4.43714593e+00,4.43714593e+00,1.99961700e+00,7.94581000e-01,-3.28834000e-01,6.93910000e-01,3.94372342e+02,8.21854700e+00
"2005Q3",1.46273712e+03,-1.01256000e+00,4.44500143e+00,4.44500143e+00,1.99961700e+00,8.20167000e-01,-2.62103000e-01,6.03314000e-01,4.11986685e+02,2.19859060e+01
"2005Q4",1.46332483e+03,-8.95859000e-01,4.44898410e+00,4.44898410e+00,2.08291600e+00,8.41167000e-01,-1.96983000e-01,6.29102000e-01,4.04192075e+02,1.01244120e+01
"2006Q1",1.46421078e+03,-4.55278000e-01,4.45333904e+00,4.45333904e+00,2.32918900e+00,8.31361000e-01,-1.49417000e-01,7.26342000e-01,4.12580367e+02,1.43257020e+01
"2006Q2",1.46527499e+03,1.82224000e-01,4.46110734e+00,4.46110734e+00,2.56376300e+00,7.95768000e-01,-3.57106000e-01,9.61074000e-01,4.24605709e+02,2.23509290e+01
"2006Q3",1.46584918e+03,3.38553000e-01,4.46644437e+00,4.46644437e+00,2.90860800e+00,7.84788000e-01,-1.91361000e-01,1.21851600e+00,4.24984255e+02,1.88261250e+01
"2006Q4",1.46696833e+03,1.05132800e+00,4.46655925e+00,4.46655925e+00,3.30337800e+00,7.75292000e-01,9.16480000e-02,1.39282100e+00,4.08978808e+02,-9.98800000e-01
"2007Q1",1.46796987e+03,1.68047900e+00,4.47198159e+00,4.47198159e+00,3.56317500e+00,7.62860000e-01,-3.75590000e-02,1.52025200e+00,4.06160404e+02,-7.23045600e+00
"2007Q2",1.46865465e+03,2.04968100e+00,4.48017370e+00,4.48017370e+00,3.82002800e+00,7.41712000e-01,-1.41000000e-01,1.80986200e+00,4.23019845e+02,6.08986500e+00
"2007Q3",1.46907726e+03,2.19708700e+00,4.48522231e+00,4.48522231e+00,3.99846700e+00,7.27164000e-01,-2.84222000e-01,2.14344200e+00,4.31806775e+02,1.15832790e+01
"2007Q4",1.46957111e+03,2.40592000e+00,4.49487157e+00,4.49487157e+00,3.99846700e+00,6.90373000e-01,-4.33630000e-02,2.31779400e+00,4.48792608e+02,2.54850580e+01
"2008Q1",1.47031280e+03,2.90235000e+00,4.50472350e+00,4.50472350e+00,3.99846700e+00,6.67079000e-01,1.30353000e-01,2.51210100e+00,4.57120132e+02,3.10578770e+01
"2008Q2",1.46998474e+03,2.39556900e+00,4.51582882e+00,4.51582882e+00,3.99846700e+00,6.40020000e-01,3.01510000e-01,2.85503600e+00,4.80722581e+02,5.20893130e+01
"2008Q3",1.46946524e+03,1.73936900e+00,4.52283875e+00,4.52283875e+00,4.24102800e+00,6.66688000e-01,2.87596000e-01,3.16274400e+00,4.75017676e+02,4.44858720e+01
"2008Q4",1.46768072e+03,-1.76710000e-01,4.51732210e+00,4.51732210e+00,3.26256700e+00,7.59062000e-01,1.37430000e-01,3.17544400e+00,4.02335576e+02,-2.94998870e+01
"2009Q1",1.46527648e+03,-2.67101300e+00,4.51469828e+00,4.51469828e+00,1.92712600e+00,7.66840000e-01,-3.50560000e-01,3.05745100e+00,3.80622974e+02,-5.33900990e+01
"2009Q2",1.46526333e+03,-2.81740700e+00,4.51724930e+00,4.51724930e+00,1.09988300e+00,7.34166000e-01,-1.49834100e+00,2.93985900e+00,4.07981443e+02,-2.58422730e+01
"2009Q3",1.46565478e+03,-2.55849900e+00,4.51910382e+00,4.51910382e+00,9.99904000e-01,6.99037000e-01,-1.76005300e+00,2.88886200e+00,4.22489530e+02,-1.45000510e+01
"2009Q4",1.46611074e+03,-2.27355800e+00,4.52124495e+00,4.52124495e+00,9.99904000e-01,6.77280000e-01,-1.77333900e+00,2.70573000e+00,4.31704492e+02,-6.26029800e+00
"2010Q1",1.46652417e+03,-2.07763700e+00,4.52645160e+00,4.52645160e+00,9.99904000e-01,7.22644000e-01,-2.07642200e+00,2.53655900e+00,4.33929215e+02,-5.10752800e+00
"2010Q2",1.46749008e+03,-1.36402100e+00,4.53285036e+00,4.53285036e+00,9.99904000e-01,7.86770000e-01,-2.40360300e+00,2.30045100e+00,4.36550636e+02,-3.58561600e+00
"2010Q3",1.46792736e+03,-1.17138600e+00,4.53596301e+00,4.53596301e+00,9.99904000e-01,7.73662000e-01,-2.18642000e+00,1.99999800e+00,4.33605012e+02,-7.69293900e+00
"2010Q4",1.46855326e+03,-7.87900000e-01,4.54109378e+00,4.54109378e+00,9.99904000e-01,7.36382000e-01,-2.07619400e+00,1.83180700e+00,4.46354755e+02,4.00000000e+00
"2011Q1",1.46954088e+03,-5.70120000e-02,4.55169908e+00,4.55169908e+00,9.99904000e-01,7.31245000e-01,-2.49928400e+00,1.87360500e+00,4.65297913e+02,2.16322120e+01
"2011Q2",1.46953717e+03,-2.93753000e-01,4.55884698e+00,4.55884698e+00,1.23231000e+00,6.94602000e-01,-2.31412000e+00,1.99466200e+00,4.76289976e+02,3.13735980e+01
"2011Q3",1.46966177e+03,-4.10220000e-01,4.56330598e+00,4.56330598e+00,1.48391600e+00,7.08133000e-01,-2.09872300e+00,1.91409700e+00,4.72735559e+02,2.66816530e+01
"2011Q4",1.46927379e+03,-1.05162300e+00,4.56943938e+00,4.56943938e+00,1.27725700e+00,7.42139000e-01,-1.87312000e+00,1.74468800e+00,4.69404207e+02,2.26516100e+01
"2012Q1",1.46901518e+03,-1.56159500e+00,4.57838121e+00,4.57838121e+00,9.99904000e-01,7.62428000e-01,-1.84082400e+00,1.58438000e+00,4.77572053e+02,2.98101450e+01
"2012Q2",1.46875699e+03,-2.00378500e+00,4.58329942e+00,4.58329942e+00,9.99904000e-01,7.79539000e-01,-1.79995500e+00,1.51646400e+00,4.69004516e+02,2.08319580e+01
"2012Q3",1.46861717e+03,-2.33008900e+00,4.58822747e+00,4.58822747e+00,7.61308000e-01,7.98873000e-01,-1.90273000e+00,1.30178400e+00,4.70006637e+02,2.14935840e+01
"2012Q4",1.46820452e+03,-2.93128900e+00,4.59235509e+00,4.59235509e+00,7.49946000e-01,7.70628000e-01,-1.47203600e+00,1.16098900e+00,4.70446121e+02,2.20000000e+01
"2013Q1",1.46781243e+03,-3.53617300e+00,4.59649937e+00,4.59649937e+00,7.49946000e-01,7.57618000e-01,-1.12742300e+00,1.02387000e+00,4.72640987e+02,2.38659960e+01
"2013Q2",1.46835008e+03,-3.25246300e+00,4.59767550e+00,4.59767550e+00,5.83299000e-01,7.65284000e-01,-1.40217300e+00,8.60405000e-01,4.63476915e+02,1.50281540e+01
"2013Q3",1.46865143e+03,-3.21771200e+00,4.60099481e+00,4.60099481e+00,4.99976000e-01,7.54731000e-01,-1.31736100e+00,9.21871000e-01,4.70139666e+02,2.20660660e+01
"2013Q4",1.46893168e+03,-3.22378100e+00,4.60066003e+00,4.60066003e+00,3.49194000e-01,7.34622000e-01,-1.34578600e+00,9.63848000e-01,4.69510168e+02,2.22595110e+01
"2014Q1",1.46954277e+03,-2.92614000e+00,4.60320158e+00,4.60320158e+00,2.49994000e-01,7.29638000e-01,-1.42679900e+00,9.14960000e-01,4.68102086e+02,2.24385820e+01
"2014Q2",1.46977610e+03,-3.00000000e+00,4.60323498e+00,4.60323498e+00,2.21424000e-01,7.29282000e-01,-1.22047200e+00,8.15688000e-01,4.69845582e+02,2.60000000e+01
"2014Q3",1.47021583e+03,-2.84523700e+00,4.60410295e+00,4.60410295e+00,1.21211000e-01,7.55037000e-01,-1.35570000e+00,5.59492000e-01,4.62576266e+02,2.62320460e+01
"2014Q4",1.47064242e+03,-2.70843100e+00,4.60246653e+00,4.60246653e+00,5.00000000e-02,8.00972000e-01,-1.17734700e+00,2.80692000e-01,4.33090008e+02,4.72174700e+00
"2015Q1",1.47163100e+03,-2.03531200e+00,4.60186473e+00,4.60186473e+00,5.00000000e-02,8.88318000e-01,-1.19635900e+00,-9.95800000e-02,3.98768077e+02,-2.15717330e+01
"2015Q2",1.47207515e+03,-1.90053100e+00,4.60673563e+00,4.60673563e+00,5.00000000e-02,9.03584000e-01,-1.02836800e+00,-3.42252000e-01,4.12872926e+02,0.00000000e+00
"2015Q3",1.47251124e+03,-1.80000400e+00,4.60616969e+00,4.60616969e+00,5.00000000e-02,8.99199000e-01,-7.60638000e-01,-4.57603000e-01,3.91265270e+02,-1.83913230e+01
"2015Q4",1.47298187e+03,-1.69257400e+00,4.60590325e+00,4.60590325e+00,5.00000000e-02,9.13658000e-01,-5.01181000e-01,-5.41857000e-01,3.77094299e+02,-3.00867050e+01
"2016Q1",1.47351590e+03,-1.53989200e+00,4.60236626e+00,4.60236626e+00,4.13040000e-02,9.06627000e-01,-1.32879000e-01,-6.47643000e-01,3.53682681e+02,-5.12922830e+01
"2016Q2",1.47378526e+03,-1.67026800e+00,4.60590325e+00,4.60590325e+00,0.00000000e+00,8.85256000e-01,9.19460000e-02,-8.11629000e-01,3.82761571e+02,-2.09197750e+01
"2016Q3",1.47422838e+03,-1.65280300e+00,4.60866408e+00,4.60866408e+00,0.00000000e+00,8.96108000e-01,2.56540000e-01,-9.76801000e-01,3.82431274e+02,-2.01763740e+01
"2016Q4",1.47499588e+03,-1.35622400e+00,4.61330369e+00,4.61330369e+00,-0.00000000e+00,9.27652000e-01,1.71620000e-02,-9.96037000e-01,3.91358614e+02,-1.04449450e+01
"2017Q1",1.47568200e+03,-1.14029200e+00,4.61996027e+00,4.61996027e+00,0.00000000e+00,9.38877000e-01,-2.17793000e-01,-9.18624000e-01,3.99116985e+02,-2.31862300e+00
"2017Q2",1.47649611e+03,-7.63230000e-01,4.62068258e+00,4.62068258e+00,0.00000000e+00,9.09390000e-01,-4.47612000e-01,-8.73023000e-01,3.91696267e+02,-9.87572400e+00
"2017Q3",1.47718667e+03,-5.12572000e-01,4.62274812e+00,4.62274812e+00,-0.00000000e+00,8.51434000e-01,-4.08870000e-01,-9.31200000e-01,3.94624678e+02,-7.50000000e+00
"2017Q4",1.47806286e+03,-1.00000000e-01,4.62755119e+00,4.62755119e+00,0.00000000e+00,8.49028000e-01,-3.23397000e-01,-1.06692200e+00,4.11852261e+02,9.08782500e+00
"2018Q1",1.47812890e+03,-4.44217000e-01,4.63259078e+00,4.63259078e+00,0.00000000e+00,8.13504000e-01,-2.24023000e-01,-1.14576400e+00,4.20396587e+02,1.67393360e+01
"2018Q2",1.47863275e+03,-3.38364000e-01,4.63799227e+00,4.63799227e+00,0.00000000e+00,8.38948000e-01,-4.14586000e-01,-1.21847700e+00,4.31064701e+02,2.66082460e+01
