Date,gdp,gdp_agriculture,cpi,cpi_core1,cpi_freshfood,cpi_administ,fisc_bal,mmr,neer,eur_tnd,usd_tnd,gdp_ea,cpi_ea,nr_ea,cpi_us,wp_oil,gdp_nom,credit_total,credit_eses,credit_houshl,gdp_agr_nom,credit_agriculture,cred_new_flows_u,cred_new_ir,cred_new_hh_flows_u,cred_new_hh_ir,cred_new_eses_flows_u,cred_new_eses_ir,il_ceil
2000Q1,13513.97,1314.62,61.05,62.92,49.52,62.33,-9.4,5.88,166.91,1.26,1.28,2098387.3,75.16,3.54,71.78,52.4,7462.13,16380.86,,,691.9201443,691.9201443,,,,,,,
2000Q2,13651.41,1333.45,60.99,63.08,47.43,62.66,3.8,5.88,164.47,1.27,1.36,2117632.8,75.39,4.26,72.24,49.7,7599.85,17000.14,,,694.0060184,694.0060184,,,,,,,
2000Q3,13990.66,1329.34,61.06,63.26,47,62.73,-0.7,5.88,163.89,1.26,1.4,2129067.7,76.06,4.74,72.94,55.2,7767.63,17579.64,,,704.3132581,704.3132581,,,,,,,
2000Q4,14228.59,1337.65,61.13,63.46,46.75,62.64,-6.6,5.88,163.01,1.26,1.45,2143279.2,76.63,5.02,73.65,59,7992.05,18023.48,,,716.6932608,716.6932608,,,,,,,
2001Q1,14317.16,1347.58,61.46,63.73,47.31,63.06,-3.4,5.98,161.95,1.28,1.39,2165203.8,76.77,4.75,74.22,50.4,8172.22,18514.13,,,722.76323,722.76323,,,,,,,12.14166795
2001Q2,14289.15,1295.93,62.01,64.04,49.43,63.35,-0.8,6.06,161.42,1.27,1.46,2167266.5,77.6,4.59,74.67,51.1,8260.67,18974.8,,,721.7239005,721.7239005,,,,,,,12.14166795
2001Q3,14151.33,1271.34,62.43,64.33,49.74,64.17,-0.6,6.06,159.83,1.29,1.45,2169425.2,77.91,4.27,74.91,46,8384.13,19528.75,,,706.0205977,706.0205977,,,,,,,12.11395615
2001Q4,14177.66,1265.65,62.87,64.54,51.06,64.62,-7.3,5.96,159.03,1.3,1.45,2171991.9,78.25,3.44,75.01,38.5,8431.17,19980.81,,,700.8333987,700.8333987,,,,,,,12.11395615
2002Q1,14131.68,1181.47,63.19,64.92,51.09,65.09,-3.1,5.94,159.54,1.3,1.48,2174042.5,78.77,3.36,75.16,41.3,8444.53,20221.64,,,652.7541525,652.7541525,,,,,,,11.98072812
2002Q2,14101.58,1186.29,63.17,65.16,49.39,65.19,-3.6,5.94,156.74,1.33,1.45,2185839.2,79.23,3.45,75.64,47.2,8555.1,20589.88,,,642.2259916,642.2259916,,,,,,,11.98072812
2002Q3,14040.58,1163.36,63.38,65.34,49.82,65.37,1.2,5.95,155.35,1.36,1.38,2194912.9,79.56,3.36,76.11,49,8667.14,20740.65,,,645.7344504,645.7344504,,,,,,,11.91670289
2002Q4,14120.98,1136.36,63.72,65.55,49.97,65.98,-3.2,5.91,153.31,1.38,1.38,2198372,80.02,3.11,76.64,53.3,8792.05,20918.8,,,661.7569549,661.7569549,,,,,,,11.91670289
