,GDP,NOM,NOM_SA,INFL,HUFEUR,MNB,BONDR,DEBTD,DEBTF,INTRD,INTRF,PBAL,VAT,Profit,Direct_tax,Contribution,Sales,GEXP_SA,GINC_SA,RD_SA,RF_SA
01/01/1999,4197.74913982888,2562.881,2718.77837587762,0.660268857273863,254.92,16.05,11.8802997179499,3995.018,2508.702,217.442075482,42.83874895,-7.10617556799997,273.669332706789,84.95769,265.99764789,291.9517,75.784326409557,1006.9805,1027.3373,17.212108,6.9036445
04/01/1999,4258.07455128274,2855.186,2801.95792519902,0.676474724680464,249.57,15.3181818181818,12.0231864358248,4146.821,2494.45,146.490678811,43.790516225,55.832195036,332.724666637263,62.74265,233.996120372,304.1,77.4744059012253,1004.3725,1067.1766,16.193909,6.926938
07/01/1999,4356.22018433357,2962.96,2920.43513837483,0.694866895650736,257.89,14.780303030303,12.1618616124381,4303.018,2629.82,157.892038000675,44.309689682325,142.098727683,360.666679589607,91.298078,252.417423972,306.9,87.4702559674003,1026.4579,1130.9363,15.64862,6.8391619
10/01/1999,4437.12201520531,3259.177,3002.30356054851,0.709206081154824,254.92,14.5586297760211,11.3113927348876,4346.308,2616.428,150.098422491214,45.8035947617862,152.373017253,421.486473066342,189.089092,275.027442728,331.8,111.035011721817,1025.522,1195.6098,14.889877,6.9310604
01/01/2000,4432.8230916593,2951.297,3043.80358495963,0.724993891872828,258.33,12.2611801242236,9.16811573417132,4498.437,2640.335,195.081756146,45.2987496,134.830505746,384.412375937243,89.01688,314.856890183,336.281122947,85.8247844393789,1112.625,1243.6977,14.313877,6.8736524
04/01/2000,4458.20405519303,3277.186,3189.37045217249,0.738276066813906,260.12,11.0666666666667,9.19755303871895,4545.335,2618.968,146.5708724665,44.4084217875,104.840294254,393.392257472333,74.960375,274.298043874,346.634423571,90.8910040130421,1125.5336,1254.1125,13.654463,6.8326791
07/01/2000,4513.04411096958,3451.75,3361.63968745483,0.763240041789296,263.75,10.8514492753623,8.90900394717017,4605.352,2553.154,136.69026237,44.72035763,153.47862,427.680817096553,98.757058,296.220356918,348.774212826,92.1208202806235,1183.8248,1294.8628,12.918363,6.9534887
10/01/2000,4583.54704170708,3688.671,3494.23327541303,0.782639325668365,264.94,11.6287878787879,10.0069879258144,4725.747,2613.696,140.14585394,44.35232606,-84.2248199999999,460.415952493871,215.162454,325.931273923,373.661450656,102.342391266956,1326.7697,1328.5999,12.136498,6.7789739
01/01/2001,4610.13601532567,3342.505,3592.248803293,0.800008061022234,266.7,11.3597826086957,9.18742052532003,4835.58,2621.322,152.58360453,42.09879547,197.869161087,369.999590339564,104.1975,366.509142124,397.836296847,85.713982836407,1208.6882,1375.0313,11.460987,6.4714132
04/01/2001,4640.99042145594,3818.316,3756.81061862119,0.816054966805748,243.59,11.25,9.02854063858495,4977.103,2485.085,139.919253535886,39.666566464114,47.0587289999998,440.416129179701,100.74076,333.197317472,381.893236691,105.203350959955,1356.2104,1427.8097,10.975747,6.3326869
